trial_number,value,datetime_start,datetime_complete,duration,state,params
27,305.8450273695438,2024-01-08 21:59:55.770104,2024-01-08 22:00:40.467335,0:00:44.697231,1,"{'scalers': 'standard', 'n_neighbors': 9, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 34}"
28,311.06712095913014,2024-01-08 22:00:40.502978,2024-01-08 22:01:25.153285,0:00:44.650307,1,"{'scalers': 'robust', 'n_neighbors': 16, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 39}"
29,334.8099986563732,2024-01-08 22:01:25.184946,2024-01-08 22:02:09.254594,0:00:44.069648,1,"{'scalers': 'minmax', 'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 29}"
30,310.2865240021967,2024-01-08 22:02:09.271403,2024-01-08 22:02:53.509947,0:00:44.238544,1,"{'scalers': 'robust', 'n_neighbors': 12, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 34}"
31,305.8450273695438,2024-01-08 22:02:53.530271,2024-01-08 22:03:39.333446,0:00:45.803175,1,"{'scalers': 'standard', 'n_neighbors': 9, 'weights': 'distance', 'algorithm': 'auto', 'leaf_size': 41}"
32,305.04792702451704,2024-01-08 22:03:39.363170,2024-01-08 22:04:24.524601,0:00:45.161431,1,"{'scalers': 'standard', 'n_neighbors': 10, 'weights': 'distance', 'algorithm': 'brute', 'leaf_size': 47}"
33,305.13503318789765,2024-01-08 22:04:24.556607,2024-01-08 22:05:13.962361,0:00:49.405754,1,"{'scalers': 'standard', 'n_neighbors': 13, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 40}"
34,306.99153094462537,2024-01-08 22:05:13.989270,2024-01-08 22:06:03.720872,0:00:49.731602,1,"{'scalers': 'standard', 'n_neighbors': 7, 'weights': 'uniform', 'algorithm': 'kd_tree', 'leaf_size': 37}"
35,304.86077491434804,2024-01-08 22:06:03.751421,2024-01-08 22:06:50.567227,0:00:46.815806,1,"{'scalers': 'standard', 'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'brute', 'leaf_size': 44}"
36,306.271426244765,2024-01-08 22:06:50.593189,2024-01-08 22:07:39.130218,0:00:48.537029,1,"{'scalers': 'standard', 'n_neighbors': 14, 'weights': 'uniform', 'algorithm': 'brute', 'leaf_size': 43}"
37,311.49723123804927,2024-01-08 22:07:39.155956,2024-01-08 22:08:27.642425,0:00:48.486469,1,"{'scalers': 'robust', 'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'brute', 'leaf_size': 32}"
38,306.89382450511147,2024-01-08 22:08:27.667899,2024-01-08 22:09:15.292392,0:00:47.624493,1,"{'scalers': 'standard', 'n_neighbors': 15, 'weights': 'distance', 'algorithm': 'brute', 'leaf_size': 48}"
39,332.09250180962727,2024-01-08 22:09:15.311183,2024-01-08 22:10:03.858849,0:00:48.547666,1,"{'scalers': 'minmax', 'n_neighbors': 12, 'weights': 'uniform', 'algorithm': 'brute', 'leaf_size': 44}"
40,306.5129197371583,2024-01-08 22:10:03.891037,2024-01-08 22:10:49.977536,0:00:46.086499,1,"{'scalers': 'standard', 'n_neighbors': 7, 'weights': 'distance', 'algorithm': 'brute', 'leaf_size': 35}"
41,305.04792702451704,2024-01-08 22:10:49.996387,2024-01-08 22:11:36.366054,0:00:46.369667,1,"{'scalers': 'standard', 'n_neighbors': 10, 'weights': 'distance', 'algorithm': 'auto', 'leaf_size': 40}"
42,305.04792702451704,2024-01-08 22:11:36.397861,2024-01-08 22:12:25.126968,0:00:48.729107,1,"{'scalers': 'standard', 'n_neighbors': 10, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 44}"
43,304.86077491434804,2024-01-08 22:12:25.148894,2024-01-08 22:13:11.391601,0:00:46.242707,1,"{'scalers': 'standard', 'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 32}"
44,305.43352204335974,2024-01-08 22:13:11.417892,2024-01-08 22:13:57.466066,0:00:46.048174,1,"{'scalers': 'standard', 'n_neighbors': 14, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 31}"
45,308.7577429424539,2024-01-08 22:13:57.501648,2024-01-08 22:14:43.607127,0:00:46.105479,1,"{'scalers': 'standard', 'n_neighbors': 8, 'weights': 'uniform', 'algorithm': 'ball_tree', 'leaf_size': 33}"
46,311.49723123804927,2024-01-08 22:14:43.626941,2024-01-08 22:15:30.223253,0:00:46.596312,1,"{'scalers': 'robust', 'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 12}"
47,305.1750184624344,2024-01-08 22:15:30.239851,2024-01-08 22:16:16.162313,0:00:45.922462,1,"{'scalers': 'standard', 'n_neighbors': 12, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 36}"
48,308.49467704059253,2024-01-08 22:16:16.196671,2024-01-08 22:17:02.993386,0:00:46.796715,1,"{'scalers': 'standard', 'n_neighbors': 16, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 26}"
49,305.13503318789765,2024-01-08 22:17:03.024567,2024-01-08 22:17:49.947043,0:00:46.922476,1,"{'scalers': 'standard', 'n_neighbors': 13, 'weights': 'distance', 'algorithm': 'brute', 'leaf_size': 22}"
